iter	RMSE
0	0.001477634673
1	0.001450476201
2	0.001427803322
3	0.001409559729
4	0.001391557052
5	0.00137673519
6	0.001363048484
7	0.00134852346
8	0.001336536906
9	0.001325188152
10	0.00131635428
11	0.0013048447
12	0.001296604929
13	0.001285681877
14	0.00126972068
15	0.001262088941
16	0.001254071117
17	0.001247329718
18	0.001235208034
19	0.001228984055
20	0.001222269672
21	0.001218644289
22	0.001209975286
23	0.001201111773
24	0.001195411296
25	0.001188805824
26	0.001181669582
27	0.001176292537
28	0.001170284136
29	0.001160375593
30	0.00115480693
31	0.001149084526
32	0.001144996536
33	0.001141393189
34	0.001136846916
35	0.001132006544
36	0.001124437551
37	0.001120352792
38	0.001117764685
39	0.001112321718
40	0.001108231327
41	0.001103974884
42	0.001101293848
43	0.001096853192
44	0.001090884165
45	0.001088156715
46	0.001084814862
47	0.00107936948
48	0.001076138955
49	0.001074157381
50	0.001068897166
51	0.00106516215
52	0.00106251529
53	0.001057876635
54	0.001054756734
55	0.001050585971
56	0.001047564666
57	0.001044362355
58	0.001040788926
59	0.001037271389
60	0.001034813225
61	0.00103238704
62	0.00103012582
63	0.001026173626
64	0.001023779705
65	0.001022264981
66	0.001019401535
67	0.001017218986
68	0.001014053387
69	0.001012122238
70	0.001009718721
71	0.00100758561
72	0.001004991516
73	0.001003576845
74	0.0009995449545
75	0.0009973510409
76	0.0009945238781
77	0.0009931574188
78	0.0009907758399
79	0.000988786492
80	0.000986574583
81	0.0009853613084
82	0.000983047426
83	0.0009821918561
84	0.0009802197341
85	0.0009780781051
86	0.0009758054029
87	0.0009746887933
88	0.0009724421111
89	0.0009691851087
90	0.000966946023
91	0.0009649459387
92	0.0009634138506
93	0.000961630357
94	0.0009599915708
95	0.0009590981035
96	0.0009554362826
97	0.0009534548827
98	0.0009508029668
99	0.0009485744991
100	0.0009454754283
101	0.0009434141717
102	0.0009418835973
103	0.0009392874537
104	0.0009374347623
105	0.0009366487572
106	0.0009352223269
107	0.0009336017665
108	0.0009313467435
109	0.0009289441843
110	0.0009276239831
111	0.0009258886457
112	0.0009247360186
113	0.0009232478092
114	0.0009216866478
115	0.0009203159127
116	0.0009185424435
117	0.0009163917525
118	0.0009155372589
119	0.0009144450861
120	0.0009115948439
121	0.0009106664797
122	0.0009094103557
123	0.0009083188253
124	0.0009059630365
125	0.0009046735561
126	0.0009029243749
127	0.0009019412575
128	0.0009010006978
129	0.0008997490491
130	0.0008987498953
131	0.0008976854008
132	0.0008955275992
133	0.0008946006595
134	0.0008926252645
135	0.0008906720517
136	0.00088839963
137	0.0008876788544
138	0.0008859318138
139	0.0008846637316
140	0.0008835276782
141	0.0008822897886
142	0.0008804375386
143	0.0008786462723
144	0.0008773981099
145	0.0008760925603
146	0.0008747655556
147	0.0008726313637
148	0.0008716421485
149	0.000869985475
150	0.0008685548766
151	0.0008668923553
152	0.0008652011857
153	0.0008637566043
154	0.0008624258187
155	0.0008611688557
156	0.0008591353424
157	0.0008580883776
158	0.0008572993578
159	0.0008554330675
160	0.0008544830601
161	0.0008533401653
162	0.0008515673332
163	0.0008507657877
164	0.0008499139619
165	0.0008488903702
166	0.0008466421197
167	0.0008442088179
168	0.0008428981969
169	0.0008420525148
170	0.0008403284928
171	0.0008393533117
172	0.0008389010935
173	0.0008376065255
174	0.0008359461788
175	0.0008350923079
176	0.0008341718634
177	0.0008334549612
178	0.0008321617658
179	0.0008310923448
180	0.0008296647879
181	0.0008285682686
182	0.0008274921971
183	0.000826688182
184	0.0008258003485
185	0.0008248233998
186	0.0008235545291
187	0.0008230493685
188	0.0008213339121
189	0.0008201026844
190	0.0008194258141
191	0.0008189049035
192	0.0008177698788
193	0.0008168720131
194	0.0008151901959
195	0.0008142775551
196	0.0008133190512
197	0.000812486574
198	0.0008117911912
199	0.0008103247701
200	0.0008088280806
201	0.0008080418496
202	0.0008063002127
203	0.000805298966
204	0.0008047257665
205	0.0008040655678
206	0.0008031425562
